id,inputMask,inputPattern,outputMask,outputPattern
R227,[nach ####],[nach JJJJ],nach ####,nach JJJJ
R228,[nach ##. MM ####],[nach TT. MM JJJJ],nach ####-##-##,nach JJJJ-MM-TT
R229,[nach #. MM ####],[nach T. MM JJJJ],nach ####-##-0#,nach JJJJ-MM-0T
R230,[nicht nach ####.##.##.],[nicht nach JJJJ.MM.TT.],vor ####-##-##,vor JJJJ-MM-TT
R231,[nicht nach ####],[nicht nach JJJJ],vor ####,vor JJJJ
R232,[nicht vor ####.##.##.],[nicht vor JJJJ.MM.TT.],nach ####-##-##,nach JJJJ-MM-TT
R233,[nicht vor ####.##.##],[nicht vor JJJJ.MM.TT],nach ####-##-##,nach JJJJ-MM-TT
R234,[nicht vor ####.##.],[nicht vor JJJJ.MM.],nach ####-##,nach JJJJ-MM
R235,[nicht vor ####],[nicht vor JJJJ],nach ####,nach JJJJ
R236,[um #### - ####],[um JJJJ - ZZZZ],um ####/####,um JJJJ/ZZZZ
R237,[um #### - um ####],[um JJJJ - um ZZZZ],um ####/####,um JJJJ/ZZZZ
R238,[um ####/##],[um JJJJ/ZZ],"um ####,um ####","um JJJJ,um JJZZ"
R239,[um ####?],[um JJJJ?],vermutlich ####,vermutlich JJJJ
R240,[um ####],[um JJJJ],um ####,um JJJJ
R241,[um ####],[um JJJJ],um ####,um JJJJ
R242,[vor ####.##.##.],[vor JJJJ.MM.TT.],vor ####-##-##,vor JJJJ-MM-TT
R243,[vor ####],[vor JJJJ],vor ####,vor JJJJ
R244,an VII [i.e.####/##],an VII [i.e.JJJJ/ZZ],"####,####","JJJJ,JJZZ"
R245,Anfang ##. Jh.,Anfang JJ. Jh.,Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert
R246,Anfang #. Jh.,Anfang J. Jh.,Anfang #. Jahrhundert,Anfang J. Jahrhundert
R247,c ####,c JJJJ,um ####,um JJJJ
R248,c. ####,c. JJJJ,um ####,um JJJJ
R249,circa ####,circa JJJJ,um ####,um JJJJ
R250,Ende ##. Jh.,Ende JJ. Jh.,Ende ##. Jahrhundert,Ende JJ. Jahrhundert
R251,Ende ##. Jh./Anfang ##. Jh.,Ende JJ. Jh./Anfang ZZ. Jh.,"Ende ##. Jahrhundert,Anfang ##. Jahrhundert","Ende JJ. Jahrhundert,Anfang ZZ. Jahrhundert"
R252,frühes ##. Jahrhundert,frühes JJ. Jahrhundert,Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert
R253,Geistesgeschichte ####-####,Geistesgeschichte JJJJ-ZZZZ,####/####,JJJJ/ZZZZ
R254,Geschichte ### v. Chr.-###,Geschichte JJJ v. Chr.-ZZZ,-0###/0###,-0JJJ/0ZZZ
R255,Geschichte ### v. Chr.-### v. Chr.,Geschichte JJJ v. Chr.-ZZZ v. Chr.,-0###/-0###,-0JJJ/-0ZZZ
R256,Geschichte ####,Geschichte JJJJ,####,JJJJ
R257,Geschichte ####,Geschichte JJJJ,####,JJJJ
