input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
in # Mrd. Jahren,in J Mrd. Jahren,in 1 Mrd. Jahren,in 1 Mrd. Jahren,"#000000000",J000000000,1000000000,
in ## Mrd. Jahren,in JJ Mrd. Jahren,in 12 Mrd. Jahren,in 12 Mrd. Jahren,"##000000000",JJ000000000,12000000000,
in ### Mrd. Jahren,in JJJ Mrd. Jahren,in 123 Mrd. Jahren,in 123 Mrd. Jahren,"###000000000",JJJ000000000,123000000000,
in #### Mrd. Jahren,in JJJJ Mrd. Jahren,in 1234 Mrd. Jahren,in 1234 Mrd. Jahren,"####000000000",JJJJ000000000,1234000000000,
vor # Billionen Jahren,vor J Billionen Jahren,vor 1 Billionen Jahren,vor 1 Billionen Jahren,-#000000000000,-J000000000000,-1000000000000,
vor ## Billionen Jahren,vor JJ Billionen Jahren,vor 12 Billionen Jahren,vor 12 Billionen Jahren,-##000000000000,-JJ000000000000,-12000000000000,
vor ### Billionen Jahren,vor JJJ Billionen Jahren,vor 123 Billionen Jahren,vor 123 Billionen Jahren,-###000000000000,-JJJ000000000000,-123000000000000,
vor #### Billionen Jahren,vor JJJJ Billionen Jahren,vor 1234 Billionen Jahren,vor 1234 Billionen Jahren,-####000000000000,-JJJJ000000000000,-1234000000000000,
in # Billionen Jahren,in J Billionen Jahren,in 1 Billionen Jahren,in 1 Billionen Jahren,"#000000000000",J000000000000,1000000000000,
in ## Billionen Jahren,in JJ Billionen Jahren,in 12 Billionen Jahren,in 12 Billionen Jahren,"##000000000000",JJ000000000000,12000000000000,
in ### Billionen Jahren,in JJJ Billionen Jahren,in 123 Billionen Jahren,in 123 Billionen Jahren,"###000000000000",JJJ000000000000,123000000000000,
in #### Billionen Jahren,in JJJJ Billionen Jahren,in 1234 Billionen Jahren,in 1234 Billionen Jahren,"####000000000000",JJJJ000000000000,1234000000000000,
"###0er Jahre",JJJ0er Jahre,1970er Jahre,1970er Jahre,"###0/###9",JJJ0/JJJ9,1970/1979,1970-01-01/1979-12-31
"##.####",MM.JJJJ,12.1948,12.1948,"####-##",JJJJ-MM,1948-12,1948-01-01/1948-12-31
"#### – ####",JJJJ – ZZZZ,1946 – 1950,1946 – 1950,"####/####",JJJJ/ZZZZ,1946/1950,1946-01-01/1950-12-31
